wavelength,transmission,log,
557,0.1039,-2.983384452,-2.69794462
558,0.0818,-3.087246696,-2.857161812
559,0.0975,-3.010995384,-2.890329688
560,0.253,-2.596879479,-3.044058145
561,0.1686,-2.77314243,-3.292189234
562,0.0177,-3.752026734,-3.625546298
563,0.0047,-4.327902142,-4.083381732
564,0.0021,-4.677780705,-4.528753246
565,0.0013,-4.886056648,-4.778347899
566,0.001,-5,-4.896931221
567,0.001,-5,-4.920551084
568,0.0012,-4.920818754,-4.874855218
569,0.0016,-4.795880017,-4.768559435
570,0.0022,-4.657577319,-4.610081097
571,0.0034,-4.468521083,-4.385637921
572,0.0062,-4.207608311,-4.054394316
573,0.0159,-3.798602876,-3.613053667
574,0.0725,-3.139661993,-3.256113431
575,0.3541,-2.450874073,-2.915316558
576,0.2071,-2.683819901,-2.556258632
577,0.3136,-2.503623946,-2.580411764
578,0.9924,-2.003313244,-2.878097381
579,0.0549,-3.260427656,-3.22312048
580,0.0115,-3.93930216,-3.676305906
581,0.0039,-4.408935393,-4.29502526
582,0.0017,-4.769551079,-4.703145728
583,0.0008,-5.096910013,-5.019861045
584,0.0005,-5.301029996,-5.277867967
585,0.0003,-5.522878745,-5.523957752
586,0.0002,-5.698970004,-5.704575749
587,0.0001,-6,-5.84436975
588,0.0001,-6,-5.539794001
589,0.0001,-6,-5.2
590,0,-4,-4.8
591,0,-4,-4.4
592,0,-4,-4
593,0,-4,-4
594,0,-4,-4
595,0,-4,-4
596,0,-4,-4
597,0,-4,-4.4
598,0,-4,-4.8
599,0.0001,-6,-5.2
600,0.0001,-6,-5.504575749
601,0.0001,-6,-5.675350142
602,0.0003,-5.522878745,-5.165304471
603,0.0014,-4.853871964,-4.996284863
604,0.0355,-3.449771647,-4.936078864
605,0.0007,-5.15490196,-5.031503115
606,0.0002,-5.698970004,-4.860728722
607,0.0001,-6,-4.970774393
608,0,-4,-4.739794001
609,0,-4,-4.4
610,0,-4,-4
611,0,-4,-4
612,0,-4,-4
613,0,-4,-4
614,0,-4,-4
615,0,-4,-4.4
616,0,-4,-4.739794001
617,0.0001,-6,-4.91700533
618,0.0002,-5.698970004,-5.196593332
619,0.0013,-4.886056648,-5.536387333
620,0.0004,-5.397940009,-5.536387333
621,0.0002,-5.698970004,-5.596593332
622,0.0001,-6,-5.819382003
623,0.0001,-6,-5.939794001
624,0.0001,-6,-5.6
625,0.0001,-6,-5.2
626,0,-4,-4.8
