wavelength,transmission,
920,-1.39E-04,
921,-1.51E-04,
922,-1.09E-04,
923,-1.18E-04,
924,-1.33E-04,
925,-1.30E-04,
926,-1.31E-04,
927,-2.11E-05,
928,1.71E-04,
929,4.16E-04,
930,6.67E-04,
931,9.63E-04,
932,1.24E-03,
933,1.52E-03,
934,1.84E-03,
935,2.11E-03,
936,2.18E-03,
937,2.03E-03,
938,1.76E-03,
939,1.50E-03,
940,1.18E-03,
941,7.89E-04,
942,3.49E-04,
943,-5.96E-05,
944,-1.77E-04,
945,-1.72E-04,
946,-1.60E-04,
947,-1.45E-04,
948,-1.58E-04,
949,-1.60E-04,
950,-1.48E-04,
951,-1.19E-04,
952,-1.26E-04,
953,-1.72E-04,
954,-1.76E-04,
955,-1.32E-04,
956,-1.33E-04,
957,-1.64E-04,
958,-1.63E-04,
959,-1.32E-04,
960,-9.46E-05,
961,-1.15E-04,
962,-1.30E-04,
963,-1.43E-04,
964,-1.50E-04,
965,-8.55E-05,
966,-8.56E-05,
967,-1.21E-04,
968,-1.29E-04,
969,-9.74E-05,
970,-6.99E-05,
971,-1.59E-05,
972,1.17E-05,
973,1.49E-05,
974,4.35E-05,
975,9.69E-05,
976,9.86E-05,
977,1.17E-04,
978,1.62E-04,
979,1.80E-04,
980,1.15E-04,
981,8.40E-05,
982,6.75E-05,
983,1.01E-04,
984,1.44E-04,
985,1.69E-04,
986,1.47E-04,
987,7.06E-05,
988,2.46E-05,
989,8.11E-05,
990,1.07E-04,
991,1.65E-04,
992,2.55E-04,
993,2.96E-04,
994,3.56E-04,
995,4.75E-04,
996,5.78E-04,
997,6.74E-04,
998,9.44E-04,
999,1.26E-03,
1000,1.64E-03,
1001,2.19E-03,
1002,3.02E-03,
1003,4.26E-03,
1004,5.82E-03,
1005,7.77E-03,
1006,9.99E-03,
1007,0.0126111,
1008,0.0147936,
1009,1.66E-02,
1010,1.76E-02,
1011,1.75E-02,
1012,1.68E-02,
1013,1.56E-02,
1014,0.0144316,
1015,1.30E-02,
1016,1.17E-02,
1017,1.06E-02,
1018,9.94E-03,
1019,9.43E-03,
1020,9.26E-03,
1021,9.26E-03,
1022,9.50E-03,
1023,9.93E-03,
1024,1.05E-02,
1025,1.13E-02,
1026,1.23E-02,
1027,1.36E-02,
1028,1.54E-02,
1029,0.0178408,
1030,2.06E-02,
1031,0.0244447,
1032,0.0291574,
1033,0.0362695,
1034,4.54E-02,
1035,5.65E-02,
1036,6.83E-02,
1037,8.61E-02,
1038,0.1082561,
1039,0.1395612,
1040,0.1755116,
1041,0.223115,
1042,0.2706666,
1043,0.3306812,
1044,0.379282,
1045,0.4166646,
1046,0.4446427,
1047,0.468551,
1048,0.481079,
1049,0.4903367,
1050,0.5012722,
1051,0.5178299,
1052,0.5393053,
1053,0.5618449,
1054,0.594407,
1055,0.6237693,
1056,0.6499586,
1057,0.6698821,
1058,0.6755345,
1059,0.6656273,
1060,0.6398587,
1061,0.593453,
1062,0.5458844,
1063,0.4949408,
1064,0.4505413,
1065,0.4134987,
1066,0.3867086,
1067,0.3577057,
1068,0.3347282,
1069,0.3216338,
1070,0.3161502,
1071,0.3140391,
1072,0.3103667,
1073,0.3164283,
1074,0.324965,
1075,0.3357411,
1076,0.3519789,
1077,0.3745228,
1078,0.4002245,
1079,0.4314103,
1080,0.4627254,
1081,0.498444,
1082,0.5397942,
1083,0.583541,
1084,0.6189548,
1085,0.6547517,
1086,0.6800889,
1087,0.7023317,
1088,0.7241148,
1089,0.7255195,
1090,0.7241154,
1091,0.726186,
1092,0.7110329,
1093,0.7091339,
1094,0.6968777,
1095,0.6914634,
1096,0.6861396,
1097,0.6920378,
1098,0.6921059,
1099,0.6961396,
1100,0.7080313,
